product_id,acidity,aroma,bitterness,sweetness,body,hot_or_cold
1,balanced,strong,light,strong,full,Cold
2,lively,strong,light,mild,medium,Cold
3,balanced,strong,light,strong,full,Cold
4,balanced,balanced,light,balanced,light,Cold
5,lively,balanced,light,faint,light,Cold
6,balanced,strong,light,strong,medium,Cold
7,balanced,balanced,light,balanced,medium,Cold
8,balanced,strong,light,strong,medium,Cold
9,balanced,strong,light,strong,medium,Cold
10,balanced,balanced,light,balanced,medium,Cold
11,balanced,strong,light,strong,full,Cold
12,balanced,strong,light,balanced,medium,Cold
13,balanced,balanced,light,balanced,light,Cold
14,flat,strong,light,intense,water,Cold
15,lively,balanced,light,balanced,water,Cold
16,lively,balanced,light,faint,light,Cold
17,balanced,strong,light,strong,medium,Cold
18,balanced,balanced,light,balanced,medium,Cold
19,balanced,strong,light,strong,medium,Cold
20,balanced,strong,light,strong,medium,Cold
21,balanced,balanced,light,balanced,medium,Cold
22,balanced,strong,light,strong,full,Cold
23,lively,balanced,light,faint,light,Hot
24,balanced,strong,light,mild,medium,Hot
25,balanced,strong,light,strong,medium,Hot
26,lively,balanced,light,faint,medium,Hot
27,sharp,strong,strong,faint,light,Hot
28,lively,strong,strong,faint,light,Hot
29,balanced,strong,light,mild,medium,Hot
30,balanced,strong,light,strong,full,Hot
31,balanced,strong,light,balanced,medium,Hot
32,balanced,strong,light,balanced,medium,Hot
33,balanced,strong,light,strong,full,Hot
34,balanced,strong,light,strong,full,Hot
35,lively,balanced,strong,faint,medium,Hot
36,lively,strong,strong,faint,medium,Hot
37,balanced,strong,light,mild,full,Hot
38,mild,strong,light,strong,full,Hot
39,balanced,strong,light,strong,full,Hot
40,mild,strong,light,intense,full,Hot
41,mild,balanced,light,mild,water,Hot
42,mild,balanced,light,balanced,light,Hot
43,balanced,strong,light,balanced,medium,Hot
44,mild,balanced,light,mild,water,Hot
45,lively,balanced,strong,faint,light,Hot
46,balanced,balanced,light,mild,medium,Hot
47,balanced,strong,light,mild,medium,Hot
48,balanced,strong,light,strong,medium,Hot
49,lively,balanced,light,faint,medium,Hot
50,sharp,strong,strong,faint,light,Hot
51,lively,strong,strong,faint,light,Hot
52,balanced,strong,light,mild,medium,Hot
53,balanced,strong,light,strong,full,Hot
54,balanced,strong,light,balanced,medium,Hot
55,balanced,strong,light,balanced,medium,Hot
56,balanced,strong,light,strong,full,Hot
57,balanced,strong,light,strong,full,Hot
